INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
300318398,01/30/2025,17:58:00,QUEENS,OUTSIDE,114,0,STREET,25-44,M,BLACK,40.75397,-73.90834
312452888,09/06/2025,00:04:00,BROOKLYN,INSIDE,81,2,HOUSING,18-24,M,BLACK,40.680488,-73.925554
310867868,08/07/2025,16:15:00,QUEENS,OUTSIDE,101,2,HOUSING,<18,M,BLACK,40.596398,-73.784674
308408220,06/20/2025,15:57:00,QUEENS,OUTSIDE,100,0,STREET,45-64,M,BLACK,40.592886,-73.795653
310000251,07/21/2025,00:30:00,QUEENS,OUTSIDE,113,0,STREET,25-44,M,BLACK,40.689869,-73.795682
303829749,03/28/2025,14:29:00,STATEN ISLAND,OUTSIDE,120,0,STREET,25-44,M,WHITE HISPANIC,40.63777181,-74.07601437
310613390,08/03/2025,03:30:00,QUEENS,OUTSIDE,110,0,STREET,18-24,M,WHITE HISPANIC,40.759739,-73.841212
311113696,08/12/2025,19:02:00,BRONX,INSIDE,43,2,HOUSING,18-24,M,ASIAN / PACIFIC ISLANDER,40.833835,-73.876987
312202110,09/01/2025,19:34:00,BRONX,OUTSIDE,49,0,STREET,25-44,M,BLACK,40.865427,-73.867866
310357834,07/28/2025,18:28:00,MANHATTAN,INSIDE,18,0,COMMERCIAL,25-44,M,WHITE,40.758128,-73.973298
307442124,06/02/2025,21:55:00,BROOKLYN,INSIDE,83,0,DWELLING,45-64,M,BLACK,40.691437,-73.915478
307581455,06/04/2025,21:33:00,BRONX,OUTSIDE,41,0,STREET,25-44,M,BLACK,40.822069,-73.894895
308658623,06/25/2025,22:20:00,BROOKLYN,OUTSIDE,78,0,STREET,25-44,F,BLACK,40.68161639,-73.97082463
305304922,04/24/2025,22:55:00,QUEENS,OUTSIDE,101,0,STREET,<18,M,BLACK,40.60877086,-73.75780082
308005978,06/12/2025,21:20:00,BRONX,OUTSIDE,42,0,STREET,45-64,M,BLACK,40.831562,-73.901486
310435646,07/30/2025,01:08:00,QUEENS,OUTSIDE,106,0,STREET,18-24,M,ASIAN / PACIFIC ISLANDER,40.66613169,-73.82614181
303630517,03/25/2025,14:22:00,BROOKLYN,INSIDE,83,2,HOUSING,<18,M,BLACK,40.695902,-73.919289
310276532,07/26/2025,21:24:00,BRONX,OUTSIDE,42,0,HOUSING,25-44,M,WHITE HISPANIC,40.827795,-73.899003
303829752,03/28/2025,23:55:00,BRONX,OUTSIDE,44,0,STREET,25-44,M,WHITE HISPANIC,40.834302,-73.928161
301609656,02/24/2025,11:30:00,BROOKLYN,INSIDE,83,0,DWELLING,45-64,I,BLACK,40.695051,-73.917793
303772633,03/27/2025,11:15:00,MANHATTAN,OUTSIDE,25,0,STREET,25-44,M,WHITE,40.79897,-73.941374
308755262,06/27/2025,02:00:00,MANHATTAN,OUTSIDE,26,0,HOUSING,18-24,M,BLACK HISPANIC,40.816989,-73.953638
305252462,04/23/2025,16:54:00,BRONX,OUTSIDE,50,0,STREET,25-44,F,WHITE HISPANIC,40.868709,-73.900738
312482075,09/06/2025,16:20:00,BROOKLYN,INSIDE,60,0,DWELLING,18-24,M,BLACK,40.577192,-74.000571
304263629,04/05/2025,17:45:00,BRONX,OUTSIDE,46,0,STREET,18-24,M,BLACK HISPANIC,40.846216,-73.909699
306106327,05/09/2025,03:17:00,BROOKLYN,OUTSIDE,78,0,PLAYGROUND,25-44,M,BLACK,40.680699,-73.98632
312482074,09/06/2025,23:47:00,BRONX,OUTSIDE,40,2,HOUSING,25-44,M,WHITE HISPANIC,40.814191,-73.923568
312865020,09/13/2025,21:20:00,BROOKLYN,OUTSIDE,67,0,STREET,18-24,M,BLACK,40.650208,-73.928733
310276536,07/26/2025,00:50:00,MANHATTAN,OUTSIDE,6,0,STREET,25-44,M,BLACK,40.728697,-73.998422
307632869,06/05/2025,19:35:00,BROOKLYN,OUTSIDE,63,2,HOUSING,25-44,M,BLACK,40.63341,-73.920548
303861624,03/29/2025,13:21:00,BROOKLYN,OUTSIDE,81,2,HOUSING,18-24,M,BLACK,40.693058,-73.940046
310937083,08/09/2025,01:19:00,MANHATTAN,OUTSIDE,14,0,STREET,65+,M,WHITE HISPANIC,40.75759,-73.98659
310000250,07/21/2025,21:15:00,BRONX,OUTSIDE,49,2,HOUSING,<18,F,BLACK,40.871163,-73.851299
306215083,05/10/2025,21:35:00,QUEENS,OUTSIDE,101,2,HOUSING,25-44,F,BLACK,40.59377,-73.784419
301018725,02/12/2025,21:11:00,BROOKLYN,OUTSIDE,79,2,HOUSING,25-44,M,WHITE HISPANIC,40.698016,-73.945876
312151471,08/31/2025,05:04:00,BROOKLYN,OUTSIDE,90,0,STREET,25-44,M,BLACK,40.714995,-73.933711
308146002,06/16/2025,15:41:00,BROOKLYN,OUTSIDE,75,2,HOUSING,<18,M,WHITE HISPANIC,40.659053,-73.88237
306294378,05/12/2025,00:36:00,BROOKLYN,OUTSIDE,69,0,STREET,18-24,M,BLACK,40.64225788,-73.90681063
303772633,03/27/2025,11:15:00,MANHATTAN,OUTSIDE,25,0,STREET,25-44,M,WHITE,40.79897,-73.941374
309519557,07/12/2025,21:20:00,BROOKLYN,OUTSIDE,79,0,HOUSING,25-44,M,BLACK,40.690505,-73.959005
303898920,03/30/2025,22:50:00,BROOKLYN,INSIDE,75,0,DWELLING,45-64,M,BLACK,40.676364,-73.891718
311362222,08/17/2025,17:40:00,BROOKLYN,OUTSIDE,75,0,HOUSING,45-64,M,BLACK,40.672815,-73.871674
309301656,07/08/2025,14:00:00,BRONX,OUTSIDE,41,0,STREET,45-64,F,BLACK HISPANIC,40.820028,-73.899866
299070750,01/07/2025,18:33:00,BRONX,OUTSIDE,40,0,STREET,18-24,M,BLACK,40.806931,-73.920768
299648921,01/17/2025,09:54:00,BRONX,OUTSIDE,40,2,HOUSING,18-24,M,BLACK,40.81368,-73.925276
308717968,06/26/2025,22:40:00,BROOKLYN,OUTSIDE,69,0,STREET,18-24,M,BLACK,40.636975,-73.897943
305285855,04/24/2025,10:21:00,MANHATTAN,OUTSIDE,25,0,STREET,25-44,M,BLACK,40.803394,-73.938144
305163491,04/22/2025,20:42:00,BROOKLYN,OUTSIDE,94,2,HOUSING,18-24,M,BLACK HISPANIC,40.718455,-73.937104
311757222,08/23/2025,19:27:00,BRONX,OUTSIDE,47,0,PLAYGROUND,<18,F,BLACK,40.87413587,-73.84086067
309107259,07/05/2025,00:17:00,BROOKLYN,OUTSIDE,73,0,STREET,25-44,M,BLACK,40.659695,-73.906732
309175595,07/06/2025,15:30:00,BRONX,OUTSIDE,42,0,STREET,18-24,M,WHITE HISPANIC,40.840013,-73.898651
312957372,09/15/2025,17:32:00,MANHATTAN,OUTSIDE,25,0,STREET,<18,M,BLACK,40.80169,-73.934282
302818233,03/14/2025,14:29:00,BRONX,OUTSIDE,40,0,STREET,25-44,M,BLACK HISPANIC,40.813951,-73.915531
301565779,02/23/2025,23:41:00,BRONX,INSIDE,43,0,DWELLING,45-64,F,WHITE HISPANIC,40.840191,-73.85397
